Quiz_round,1,RESULT:,Steal1Goodness,Incorrect,,,,,,,,,
Quiz_round,2,RESULT:,-,allCorrect,,,,,,,,,
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,390958.3,1,10,4990,blue,TRUE,left,23,10,left,blue,1482,0
2,394962.2,0,0,4990,blue,TRUE,left,45,97,right,orange,1254,0
3,398733.7,0,0,4990,blue,TRUE,left,54,62,right,orange,1620,0
4,402875.1,0,0,4990,blue,FALSE,left,99,16,left,blue,1364,0
5,406759.8,1,40,4950,blue,TRUE,left,72,40,left,blue,1185,0
6,410470.6,1,88,4862,blue,TRUE,left,98,88,left,blue,1186,0
7,414178.1,0,0,4862,blue,TRUE,left,6,54,right,orange,1669,0
8,418368.8,0,0,4862,blue,TRUE,left,64,55,right,orange,2768,0
9,423655.4,0,0,4862,blue,FALSE,right,96,45,right,blue,2554,0
10,428729.3,1,19,4843,blue,TRUE,right,28,19,right,blue,2151,0
11,433400.2,1,26,4817,blue,TRUE,left,95,26,left,blue,1869,0
12,437792.1,1,29,4788,blue,TRUE,right,90,29,right,blue,1788,0
13,442107.5,0,0,4788,blue,TRUE,right,20,53,left,orange,2879,0
14,447509,0,0,4788,blue,TRUE,right,74,56,left,orange,2617,0
15,452644.8,0,0,4788,blue,TRUE,right,18,42,left,orange,1204,0
16,456366.5,0,0,4788,blue,TRUE,left,11,91,right,orange,1859,0
17,460744.9,1,32,4756,blue,FALSE,left,32,31,right,orange,1457,0
18,464723.2,0,0,4756,blue,TRUE,right,36,65,left,orange,1914,0
19,469158,1,40,4716,blue,FALSE,left,40,30,right,orange,1304,0
20,472987.8,0,0,4716,blue,TRUE,right,29,26,left,orange,1544,0
21,477052.3,1,32,4684,blue,FALSE,right,32,36,left,orange,1937,0
22,481512.2,0,0,4684,blue,TRUE,right,72,81,left,orange,2337,0
23,486370.7,1,95,4589,blue,FALSE,left,95,54,right,orange,1839,0
24,490732.9,1,40,4549,blue,FALSE,left,40,59,right,orange,1230,0
25,494486.7,1,29,4520,blue,FALSE,left,29,24,right,orange,1827,0
26,498835.1,1,60,4460,blue,FALSE,right,60,51,left,orange,1110,0
27,502474.4,0,0,4460,blue,FALSE,right,83,65,right,blue,1594,0
28,506584.8,1,98,4362,blue,TRUE,right,78,98,right,blue,1501,0
29,510608.6,1,56,4306,blue,FALSE,left,56,51,right,orange,2276,0
30,515411.3,1,5,4301,blue,FALSE,left,5,20,right,orange,3024,0
31,520960.3,1,67,4234,blue,FALSE,right,67,2,left,orange,1008,0
32,524488.7,0,0,4234,blue,FALSE,right,85,84,right,blue,1929,0
33,528940.1,1,49,4185,blue,TRUE,right,7,49,right,blue,1411,0
34,532872.3,0,0,4185,blue,FALSE,right,37,47,right,blue,1543,0
35,536934.2,1,27,4158,blue,FALSE,right,27,91,left,orange,2901,0
36,542358.5,0,0,4158,blue,FALSE,right,44,42,right,blue,2753,0
37,547628.6,1,55,4103,blue,TRUE,right,31,55,right,blue,1071,0
38,551218.2,0,0,4103,blue,FALSE,left,97,70,left,blue,2233,0
39,555972.8,0,0,4103,blue,FALSE,right,14,9,right,blue,1839,0
40,560331.1,1,51,4052,blue,TRUE,right,23,51,right,blue,3035,0
41,565892.3,1,79,3973,blue,TRUE,left,89,79,left,blue,2024,0
42,570438,0,0,3973,blue,TRUE,left,83,86,right,orange,2865,0
43,575819.3,0,0,3973,blue,TRUE,left,40,62,right,orange,1885,0
44,580221.6,0,0,3973,blue,TRUE,right,36,23,left,orange,1616,0
45,584358.8,0,0,3973,blue,TRUE,right,65,61,left,orange,1879,0
46,588755.3,0,0,3973,blue,TRUE,left,74,67,right,orange,1157,0
47,592434.1,0,0,3973,blue,TRUE,left,73,41,right,orange,1095,0
48,600052.3,1,96,3877,blue,FALSE,left,96,54,right,orange,2660,0
49,605234.7,0,0,3877,blue,TRUE,right,86,88,left,orange,1364,0
50,609117.4,0,0,3877,blue,TRUE,left,43,66,right,orange,932,0
51,612568.6,0,0,3877,blue,TRUE,right,72,79,left,orange,1419,0
52,616506.8,1,71,3806,blue,FALSE,left,71,13,right,orange,572,0
53,619600.4,0,0,3806,blue,TRUE,left,78,53,right,orange,521,0
54,622641.3,0,0,3806,blue,TRUE,right,57,90,left,orange,1073,0
55,626234.3,1,3,3803,blue,FALSE,left,3,12,right,orange,759,0
56,629515.3,0,0,3803,blue,TRUE,right,2,64,left,orange,695,0
